Rank;Autores;Ano;Palavras-chave;TÃ­tulo;Revista;NÃºmero de CitaÃ§Ãµes;DOI;Abstract
60;"Chunhwa Jang; Nictor Namoi; Eric Wolske; Daniel Wasonga; Gevan Behnke; N Dennis Bowman; D K Lee";2024;;Integrating plant morphological traits with remote-sensed multispectral imageries for accurate corn grain yield prediction.;PloS one;10;10.1371/journal.pone.0297027;Sustainable crop production requires adequate and efficient management practices to reduce the negative environmental impacts of excessive nitrogen (N) fertilization. Remote sensing has gained traction as a low-cost and time-efficient tool for monitoring and managing cropping systems. In this study, vegetation indices (VIs) obtained from an unmanned aerial vehicle (UAV) were used to detect corn (Zea mays L.) response to varying N rates (ranging from 0 to 208 kg N ha-1) and fertilizer application methods (liquid urea ammonium nitrate (UAN), urea side-dressing and slow-release fertilizer). Four VIs were evaluated at three different growth stages of corn (V6, R3, and physiological maturity) along with morphological traits including plant height and leaf chlorophyll content (SPAD) to determine their predictive capability for corn yield. Our results show no differences in grain yield (average 13.2 Mg ha-1) between furrow-applied slow-release fertilizer at â‰¥156 kg N ha-1 and 208 kg N ha-1 side-dressed urea. Early season remote-sensed VIs and morphological data collected at V6 were least effective for grain yield prediction. Moreover, multivariate grain yield prediction was more accurate than univariate. Late-season measurements at the R3 and mature growth stages using a combination of normalized difference vegetation index (NDVI) and green normalized difference vegetation index (GNDVI) in a multilinear regression model showed effective prediction for corn yield. Additionally, a combination of NDVI and normalized difference red edge index (NDRE) in a multi-exponential regression model also demonstrated good prediction capabilities.
61;"M. Zagórda; M. Walczykova";2018;"Software; Computer science; Raw data; Yield (engineering); Interpolation (computer graphics)";The application of various software programs for mapping yields in precision agriculture;CONTEMPORARY RESEARCH TRENDS IN AGRICULTURAL ENGINEERING;10;10.1051/bioconf/20181001018;Yields mapping can be done in GIS programs as well as in specialized software for agriculture. These can be programs designed for preparing informative and application maps and also software designed for integrated management of agricultural production that have a built-in GIS module. In the presented study, representatives of those three groups were taken into consideration – QGIS, Agro-Map, and FarmTMWorks Office (now Trimble Ag Software). The aim of the study was to evaluate the compatibility of the obtained yield maps in terms of basic statistical and geostatistical parameters, such as the average yield, the coefficient of variability, placement on the field zones with different yield ranges, and their percentage share in the area of the field surface. Calculations and visualization of the results were done for winter wheat, winter rape, and corn, cultivated in three-year rotation on one field. All three presented programs allow preparation of raw yield monitoring data so that yield maps produced with identical assumptions of interpolation parameters differ slightly. The difference in the use of these applications is mainly due to the further use of the resulting maps, the time required to learn the program, the task execution time, and the cost of purchase.
62;"José Rato Nunes; Luís Loures; Antonio López?Piñeiro; Ana Loures; Eric Vaz";2016;"Soil map; Environmental science; Irrigation; Digital soil mapping; Geographic information system";Using GIS towards the Characterization and Soil Mapping of the Caia Irrigation Perimeter;SUSTAINABILITY;10;10.3390/su8040368;"The Caia Irrigation Perimeter is an irrigation infrastructure implemented in 1968. As is often the case, the original soil map of this region (dated from 1961) does not have the detail needed to characterize a relatively small-sized zone, where intensive agricultural practices take place. Using FAO methodology and with the main goal of establishing a larger-scale soil map, adequate for the demands of a modern and intensive agriculture, we gathered the geological characterization of the study area and information about the topography, climate, and vegetation of the region. Using ArcGIS software, we overlapped this information and established a pre-map of soil resources. Based on this pre-map, we defined a set of detailed itineraries in the field, evenly distributed, in which soil samples were collected. In those distinct soil units, we opened several soil profiles, from which we selected 26 to analyze in the present study, since they characterized the existing diversity in terms of soil type and soil properties. Based on the work of verification, correction, and reinterpretation of the preliminary soil map, we reached a final soil map for the Caia Irrigation Perimeter, which is characterized by enormous heterogeneity, typical of Mediterranean soils, containing 23 distinct cartographic units, the most representative being the Distric Fluvisols with inclusions of Luvisols Distric occupying 29.9% of the total study area, and Calcisols Luvic with inclusions of Luvisols endoleptic with 11.9% of the total area. Considering the obtained information on soil properties; ArcGIS was used to develop a map in which it was possible to ascertain the impact of the continuous practice of irrigation in this area. This allows us to put forward relevant conclusions on the need to access and monitor specific Mediterranean soils in order to mitigate the environmental impact of irrigation practices."
63;"JÃºnior Melo Damian; Osmar Henrique de Castro Pias; AntÃ´nio Luis Santi; Nicola Di Virgilio; Juliano Berghetti; Lorenzo Barbanti; Roberta Martelli";2016;"Grain yield; management zones; precision agriculture; soil properties; spatial variability; wheat";Delineating management zones for precision agriculture applications: a case study on wheat in sub-tropical Brazil;Italian Journal of Agronomy;9;10.4081/ija.2016.713;"In sub-tropical Brazil, the wheat ( Triticum aestivum L.) crop requires identification of pending constraints as premise for grain yield (GY) increases. In this light, spatial variation of soil properties and their relationship with GY were investigated in a case study, where the delineation of homogeneous zones could lead to site-specific management in view of crop improvement. In 2012, twelve chemical and physical soil attributes, GY and the three yield components (spikes per square meters, grains per spike, grain weight) were geo-referentially assessed in a 50Ã—50 m grid in a 4.7 ha wheat field. GY exhibited a modest mean (2.61 Mg ha â€“1 ), associated with a noticeable variation (CV, 17.4%). A multiple stepwise regression of soil carbon (C) and pH explained a high share of GY variation (R 2 , 0.83**). Maps of C, pH and GY obtained through inverse distance weighting showed the spatial trends of the three traits. C and pH clustering delineated three homogeneous zones at respective low, intermediate and high levels of C, pH, and also GY, setting the premise for a differential management of crop inputs. In particular, a significant part (21.8%) of field surface featured very low GY (2.05 Mg ha â€“1 ); thus substantial yield increase could be envisaged through targeted supply of organic amendments (soil C, 14.1 g dm â€“3 ), and especially lime (soil pH, 4.92). A larger field portion (54%) showed intermediate GY (2.65 Mg ha â€“1 ), C (15.3 g dm â€“3 ) and pH (5.23), deserving a lesser degree of amelioration. The remaining 24.2% of field surface exhibited the highest GY (3.16 Mg ha â€“1 ), C (17.2 g dm â€“3 ) and pH (5.46). Based on the difference between GY registered in the low vs. high zone, overcoming soil constraints could be credited with a remarkable (>50%) yield increase, although further years of wheat cropping would be needed to prove the consistency of the two temporally stable soil traits, C and pH, as yield determinants. Nevertheless, this case study addressing a world area that features very different conditions from wheat grown in temperate regions shows good prospects for variable application of crop inputs in the frame of precision agriculture techniques."
64;Lia Duarte, Catarina Queirós, Ana Cláudia Teodoro;2021;;Comparative analysis of QGIS plugins for Web Maps creation;La Granja;8;10.17163/lgr.n34.2021.01 ;QGIS is a free and open-source software that allows viewing, editing, and analyzing georeferenced data. It is a Geographic Information System (GIS) software composed by tools that allow to manipulate geographic information and consequently to create maps which help to get a better understanding and organization of geospatial data. Unfortunately, maps created directly in the GIS desktop software are not automatically transferred to a website. This research aimed to compare publishing capabilities in different QGIS plugins to create Web Maps. This study analyzes four QGIS plugins (QGIS2Web, QGIS Cloud, GIS Cloud Publisher and Mappia Publisher), performing a comparison between them, considering their advantages and disadvantages, the free and subscription plans, the tools offered by each plugin and other generic aspects. The four plugins were tested in a specific case study to automatically obtain different Web Maps. This study could help users to choose the most adequate tools to publish Web Maps under QGIS software.
65;"Indayati Lanya; Tugma Jaya Manalu";2021;"Geospatial analysis; Agriculture; Thematic map; Food security; Geography";Remote sensing and GIS application for mapping data base of sustainable agriculture land in Denpasar City;1ST INTERNATIONAL CONFERENCE ON SUSTAINABLE TROPICAL LAND MANAGEMENT;8;10.1088/1755-1315/648/1/012003;Abstract The Government of Indonesia has issued legislation in an effort to protect sustainable food agricultural land (SFAL), supplemented by Ministerial Regulation, which the aim is for national food security and sovereignty. The assessment accuracy of rice field data is depending on the spatial resolution and temporal variation. Geospatial based agricultural database inventory supports agricultural development programs. The research objective was to compile the SFAL data base (agricultural resources and ownership map). Research methods include analysis of high-resolution Word View 2018 satellite imagery, field surveys and thematic mapping. QGIS 3.6 software, SAS Planet and Locus GIS. Land resources inventory (paddy area in three subak 59.8 ha, Typic Tropaquepts, rainfall of 1,500 to 2,000 mm year ?1 , origin slope 3 to 8%, terraced, very suitable for lowland rice, suitable for horticulture). Human resources (82 people as owner, 88 farmers as cultivator), 70.95% of those have primary school education and 78.3% are aged 51 to 70 years old. Artificial resources (4,800 m tertiary irrigation channel, 2,470 m farm roads, 5 tractors), rice-rice-horticulture cropping pattern, produce 6.5 t ha ?1 of rice. Map and information system of subak rice fields, land suitability and geospatial-based land tenure information as SFAL database can assist local governments in sustainable agricultural development.
66;"NebojÅ¡a NikoliÄ‡; Pietro Mattivi; Salvatore Eugenio Pappalardo; Massimo De Marchi; Roberta Masin";2025;;From detection to action: Creating operational prescription maps for weed management using low-cost UAVs;Italian Journal of Agronomy;7;10.1016/j.ijagro.2025.100047;Weeds remain one of the leading constraints to sustainable agriculture, prompting widespread herbicide use that poses environmental and economic concerns. Precision agriculture, particularly Unmanned Aerial Vehicle (UAV)-based remote sensing, offers a promising alternative by enabling site-specific weed management. However, despite their cost-effectiveness relative to ground-based systems and their growing technical feasibility, adoption rates in Italy remain below 10%. This limited uptake stems from complex interrelated barriers: fragmented land ownership, generational divides, lack of awareness and trust in emerging technologies. Cultural resistance and perceived technical complexity further hinder integration at the farm level, especially among smallholders. This study investigates the operational potential of low-cost UAVs combined with open-source image classification algorithms to produce prescription maps for targeted herbicide application. Specifically, it aims to assess the feasibility of using commercially available, low-cost drones equipped with standard cameras, together with GIS tools, to reduce herbicide use and improve environmental sustainability. The effectiveness of this approach is evaluated across multiple spatial configurations and weed infestation thresholds, with a view toward broader applicability in Italian and comparable agro-environmental contexts. The experimental site is set on a maize field in NE Italy, the research tested three classification methodsâ€”Artificial Neural Networks (ANN), Maximum Likelihood Classifier (MLC), and Object-Based Image Analysis (OBIA)â€”across varying grid sizes and weed detection thresholds to provide modular prescription maps for different weed management scenarios. Results demonstrate a significant reduction in the treated area compared to conventional blanket spraying, with ANN ranging from 18.92% to 3.75%, MLC from 14.59% to 2.18%, and OBIA from 15.82% to 3.49%, depending on the configuration. This study highlights how commercial low-cost UAVs and open-source GIS tools, when applied through a structured and reproducible workflow, can bridge the gap between innovation and practical application in sustainable agriculture
67;"Amal Chakhar; David Hernández?López; Rim Zitouna?Chebbi; Imen Mahjoub; Rocío Ballesteros; M. Moreno";2022;"Computer science; Earth observation; Thematic map; Context (archaeology); Remote sensing";Optimized Software Tools to Generate Large Spatio-Temporal Data Using the Datacubes Concept: Application to Crop Classification in Cap Bon, Tunisia;REMOTE SENSING;7;10.3390/rs14195013;In the context of a changing climate, monitoring agricultural systems is becoming increasingly important. Remote sensing products provide essential information for the crop classification application, which is used to produce thematic maps. High-resolution and regional-scale maps of agricultural land are required to develop better adapted future strategies. Nevertheless, the performance of crop classification using large spatio-temporal data remains challenging due to the difficulties in handling huge amounts of input data (different spatial and temporal resolutions). This paper proposes an innovative approach of remote sensing data management that was used to prepare the input data for the crop classification application. This classification was carried out in the Cap Bon region, Tunisia, to classify citrus groves among two other crop classes (olive groves and open field) using multi-temporal remote sensing data from Sentinel- 1 and Sentinel-2 satellite platforms. Thus, we described the new QGIS plugin “Model Management Tool (MMT)”. This plugin was designed to manage large Earth observation (EO) data. This tool is based on the combination of two concepts: (i) the local nested grid (LNG) called Tuplekeys and (ii) Datacubes. Tuplekeys or special spatial regions were created within a LNG to allow a proper integration between the data of both sensors. The Datacubes concept allows to provide an arranged array of time-series multi-dimensional stacks (space, time and data) of gridded data. Two different classification processes were performed based on the selection of the input feature (the obtained time-series as input data: NDVI and NDVI + VV + VH) and on the most accurate algorithm for each scenario (22 tested classifiers). The obtained results revealed that the best classification performance and highest accuracy were obtained with the scenario using only optical-based information (NDVI), with an overall accuracy OA = 0.76. This result was obtained by support vector machine (SVM). As for the scenario relying on the combination of optical and SAR data (NDVI + VV + VH), it presented an OA = 0.58. Our results demonstrate the usefulness of the new data management tool in organizing the input classification data. Additionally, our results highlight the importance of optical data to provide acceptable classification performance especially for a complex landscape such as that of the Cap Bon. The information obtained from this work will allow the estimation of the water requirements of citrus orchards and the improvement of irrigation scheduling methodologies. Likewise, many future methodologies will certainly rely on the combination of Tuplekeys and Datacubes concepts which have been tested within the MMT tool.
68;"Manoj Kumar Nanda; Sukanta Kumar Sarangi; Mark Glover; Debolina Sarkar; Argha Ghosh; Momsona Mondal; Jorge L. Peña?Arancibia; Mohammed Mainuddin";2025;"Geospatial analysis; Environmental science; Soil classification; Crop; Remote sensing";Soil conductance classification for crop performance assessment using electromagnetic induction and geospatial techniques in coastal region of Indian Sundarbans;GEODERMA REGIONAL;7;10.1016/j.geodrs.2025.e00951;Sustainable crop production in the coastal zone of the Indian Sundarbans presents a significant challenge due to seasonal salinity build-up, particularly during the post-monsoon season. The measurement of apparent electrical conductivity (ECa) of soil using electromagnetic induction (EM) technique has emerged as a popular method for rapidly assessing soil salinity, serving as a proxy for traditional cost and labour-intensive laboratory analysis methods. This study investigated two test sites, Bijoynagar (9.24 ha) and Sonagaon (9.69 ha), to assess the spatial pattern of ECa at four depths of exploration (DOE)- 30 cm, 50 cm, 80 cm, and 160 cm below the surface using the DualEM-1HS. The measured ECa data were interpolated using Ordinary Kriging (OK) to get contiguous grid layers of ECa at respective depths which are subsequently classified into six Soil Conductance Units (SCUs) using K-means clustering technique. The Bijoynagar site, where mung beans and a few other vegetables were cultivated in the rice fallow during the survey recorded lower ECa than the Sonagaon site. The major part of the Sonagaon site was laid fallow during the survey, with patches of summer rice grown sporadically. The coefficient of variation of ECa within each SCU was most pronounced at the surface level (up to 30 cm depth), which was often influenced by agricultural practices such as tillage and irrigation. Strong correlations were observed between the laboratory-measured electrical conductivity of soil-water suspensions (ECe) and the cluster numbers, as evidenced by a high Spearman Rank Correlation coefficient (0.905). The ECa of the crop rhizospheric layer (surface to 50 cm depth) exhibited the highest correlation coefficients for mung bean stover yield, biomass yield, and rice grain yield. Spearman rank correlations between cluster numbers and the yield of summer rice and mung beans grown in different SCUs were also significant at the 5 % level. The investigation of the electromagnetic induction approach for assessing apparent soil conductivity has been crucial in understanding local fluctuation of soil salinity and its impact on performance of the two major crops grown in the Sundarbans. The improved EM survey involving hand-held GPS and Android application ‘GeoTracker’ followed by geostatistical analysis, and clustering in open-source GIS platform customized in this study offers a robust package of practices that enabled quick, precise and effective classification of land into Soil Conductance Units for site specific crop management in the coastal saline region of Indian Sundarbans.
69;"Luan Peroni Venancio; Roberto Filgueiras; Fernando FranÃ§a da Cunha; Francisco Charles dos Santos Silva; Robson Argolo dos Santos; Everardo Chartuni Mantovani";2020;"Vegetation index; Satellite images; Remote sensing; Zea mays L";Mapping of corn phenological stages using NDVI from OLI and MODIS sensors;Semina: CiÃªncias AgrÃ¡rias;6;10.5433/1679-0359.2020v41n5p1517;Images from MODIS and OLI sensors were used. Corn phenology was evaluated through NDVI. Data were validated by model identity testing. NDVI can help identify problems in corn crops.
70;"Katrin Janik; Bernd Panassiti; Christine Kerschbamer; Johannes Burmeister; Valeria Trivellone";2023;"Bavaria; DAMA protocol; archives; aster yellow; bio-inventories; geographic distribution; metabarcoding; phytopathogens; risk evaluation; risk heat map";Phylogenetic Triage and Risk Assessment: How to Predict Emerging Phytoplasma Diseases.;Biology;6;10.3390/biology12050732;Phytoplasma diseases pose a substantial threat to diverse crops of agricultural importance. Management measures are usually implemented only after the disease has already occurred. Early detection of such phytopathogens, prior to disease outbreak, has rarely been attempted, but would be highly beneficial for phytosanitary risk assessment, disease prevention and mitigation. In this study, we present the implementation of a recently proposed proactive disease management protocol (DAMA: Document, Assess, Monitor, Act) for a group of vector-borne phytopathogens. We used insect samples collected during a recent biomonitoring program in southern Germany to screen for the presence of phytoplasmas. Insects were collected with malaise traps in different agricultural settings. DNA was extracted from these mass trap samples and subjected to PCR-based phytoplasma detection and mitochondrial cytochrome c oxidase subunit I (COI) metabarcoding. Phytoplasma DNA was detected in two out of the 152 insect samples analyzed. Phytoplasma identification was performed using iPhyClassifier based on 16S rRNA gene sequence and the detected phytoplasmas were assigned to '<i>Candidatus</i> Phytoplasma asteris'-related strains. Insect species in the sample were identified by DNA metabarcoding. By using established databases, checklists, and archives, we documented historical associations and records of phytoplasmas and its hosts in the study region. For the assessment in the DAMA protocol, phylogenetic triage was performed in order to determine the risk for tri-trophic interactions (plant-insect-phytoplasma) and associated disease outbreaks in the study region. A phylogenetic heat map constitutes the basis for risk assessment and was used here to identify a minimum number of seven leafhopper species suggested to be monitored by stakeholders in this region. A proactive stance in monitoring changing patterns of association between hosts and pathogens can be a cornerstone in capabilities to prevent future phytoplasma disease outbreaks. To the best of our knowledge, this is the first time that the DAMA protocol has been applied in the field of phytopathology and vector-borne plant diseases.
71;"Adel Shalaby; Hossam Khedr; Ehab Youssef; Neven Rostom; Hoda Nour-Eldin; Rania Mansour; Engy A Hassan";2022;"Arid; Crop; Soil texture; Agriculture; Environmental science";A GIS-based model for automated land suitability assessment for main crops in north-western desert of Egypt (case study: south of Al-Dabaa Corridor);APPLIED GEOMATICS;6;10.1007/s12518-022-00474-8;The ever-increasing population causes huge pressure on the areas already inhabited and causes a decrease in an area per capita. This fact necessitates an essential demand for evaluating and classifying the soil according to its agricultural productivity for different crops. This research aimed to evaluate lands which proposed to use in the agricultural field in the south of Al-Dabaa Corridor based on remote sensed data and GIS techniques. Moreover, the future optimum agricultural use planning will be projected based on the land assessments in the study area. Land suitability was evaluated using ALES-arid software for six crops. It was found that 74% of the study area was suitable for one fruit crop, date palm, and about 77.3% for one crop, alfalfa, and also suitable for one vegetable crop, tomato, by 77.1%. Furthermore, it was found that the study area was moderately suitable for other two crops, faba bean and maize (72.7 and 67.8%), and one fruit crop, citrus (70.1%). On the other hand, it was found that the characteristics that most affected the suitability class of fruit crops were soil salinity, soil depth, ESP, slope, and coarse texture. Finally, the study area should go under major reclamation process (removal of the excess salts and improvement of the drainage conditions) in order to obtain the highest production.
72;"Barbara Dobosz; Dariusz Gozdowsk?; Jerzy Koro?czok; Jan Žukovskis; El?bieta Wójcik?Gront";2025;"Aerial imagery; Remote sensing; Lidar; Environmental science; Crop";Detection of Crop Damage in Maize Using Red–Green–Blue Imagery and LiDAR Data Acquired Using an Unmanned Aerial Vehicle;AGRONOMY-BASEL;6;10.3390/agronomy15010238;"Crop damage caused by wild animals, particularly wild boars (Sus scrofa), significantly impacts agricultural yields, especially in maize fields. This study evaluates two methods for assessing maize crop damage using UAV-acquired data: (1) a deep learning-based approach employing the Deepness plugin in QGIS, utilizing high-resolution RGB imagery; and (2) a method based on digital surface models (DSMs) derived from LiDAR data. Manual visual assessment, supported by ground-truthing, served as the reference for validating these methods. This study was conducted in 2023 in a maize field in Central Poland, where UAV flights captured high-resolution RGB imagery and LiDAR data. Results indicated that the DSM-based method achieved higher accuracy (94.7%) and sensitivity (69.9%) compared to the deep learning method (accuracy: 92.9%, sensitivity: 35.3%), which exhibited higher precision (92.2%) and specificity (99.7%). The DSM-based method provided a closer estimation of the total damaged area (9.45% of the field) compared to the reference (10.50%), while the deep learning method underestimated damage (4.01%). Discrepancies arose from differences in how partially damaged areas were classified; the deep learning approach excluded these zones, focusing on fully damaged areas. The findings suggest that while DSM-based methods are well-suited for quantifying extensive damage, deep learning techniques detect only completely damaged crop areas. Combining these methods could enhance the accuracy and efficiency of crop damage assessments. Future studies should explore integrated approaches across diverse crop types and damage patterns to optimize wild animal damage evaluation."
73;"Iñigo Barberena; Miguel Ángel Campo?Bescós; Javier Casalí";2022;"Irrigation; Distribution uniformity; Agricultural engineering; Environmental science; Context (archaeology)";Extended Assessment of Sprinkler Irrigation Uniformity in Greenhouses Using GIS and Hydraulic Modeling;SUSTAINABILITY;6;10.3390/su14159723;Traditionally, distribution uniformity has been obtained by using rain gauges, which makes it a very expensive process. This paper sought to create a simulation strategy using QGIS and EPANET, both free software, that allowed the simulation of the water application results of all the emitters of an irrigation installation. In this way, it was possible to obtain the geospatial representation of the applied water and finally to know the distribution uniformity in the whole installation. The simulation finally fulfilled its objective and was compared with a study of distribution uniformity with rain gauges. The biggest difference between the measured and simulated data was a difference of 5.76% among the sectors. The simulated uniformity was very similar to the measured uniformity, which allowed us to affirm that the proposed simulation methodology was adequate. We believe that the methodology proposed in this article could be very useful in improving the management of sprinkler irrigation systems, particularly those in which distribution uniformity is of special importance. These improvements in management can also result in savings in water and other inputs, which are becoming increasingly important in the current context of climate change and the reduction in the impact of agriculture on the environment. Finally, similar studies could be carried out with the same tools for other pressurized irrigation systems, such as sprinkler irrigation outside greenhouses and drip irrigation.
74;"M?ris Nartišs; Raitis Me??iks";2023;"Classifier (UML); Support vector machine; Artificial intelligence; Computer science; Pattern recognition (psychology)";Improving pixel?based classification of GRASS GIS with support vector machine;TRANSACTIONS IN GIS;6;10.1111/tgis.13102;Abstract Open source GIS software GRASS releases 8.0 to 8.4 have received some long overdue improvements in imagery handling such as the ability to reuse spectral signature files of existing classifiers, machine readable output of accuracy assessment tool and a support vector machine (SVM) classifier. Practical comparison of all three pixel?based classifiers of GRASS GIS indicated that the maximum likelihood discriminant analysis classifier is the fastest and least accurate one, followed by a sequential maximum a posteriori classifier with reasonably fast execution time and good accuracy. The newly added SVM classifier is the slowest one but provides the highest accuracy and also shows the highest improvement potential by hyperparameter optimization. To illustrate the capabilities of the core classifiers, a showcase is presented where a single Sentinel 2 image is classified to distinguish 18 crop types using all three classifiers available in GRASS.
75;"Anish Anand; K. Venkata Reddy; Venkataramana Sridhar";2024;"Evapotranspiration; Structural basin; Hydrology (agriculture); Yield (engineering); Satellite";Studying the Relationship between Satellite-Derived Evapotranspiration and Crop Yield: A Case Study of the Cauvery River Basin;AGRIENGINEERING;6;10.3390/agriengineering6030154;Satellite-derived evapotranspiration (ETa) products serve global applications, including drought monitoring and food security assessment. This study examines the applicability of ETa data from two distinct sources, aiming to analyze its correlation with crop yield (rice, maize, barley, soybean). Given the critical role of crop yield in economic and food security contexts, monthly and yearly satellite-derived ETa data were assessed for decision-makers, particularly in drought-prone and food-insecure regions. Utilizing QGIS, zonal statistics operations and time series graphs were employed to compare ETa with crop yield and ET anomaly. Data processing involved converting NRSC daily data to monthly and extracting single-pixel ET data using R Studio. Results reveal USGSFEWS as a more reliable ETa source, offering better accuracy and data continuity, especially during monsoon seasons. However, the correlation between crop yield and ETa ranged from 12% to 35%, while with ET anomaly, it ranged from 35% to 55%. Enhanced collection of satellite-based ETa and crop-yield data is imperative for informed decision-making in these regions. Despite limitations, ETa can moderately guide decisions regarding crop-yield management.
76;"Mustafa Serkan Isik; Leandro Parente; Davide Consoli; Lindsey Sloat; Vinicius Vieira Mesquita; Laerte Guimaraes Ferreira; Simone Sabbatini; Radost Stanimirova; Nathalia Monteiro Teles; Nathaniel Robinson; Ciniro Costa Junior; Tomislav Hengl";2025;"Analysis ready data (ARD); CERES; Earth observation; GPP; Global grassland monitoring; Grassland productivity; Gross primary productivity; Landsat; Light use efficiency; Modis";Light use efficiency (LUE) based bimonthly gross primary productivity (GPP) for global grasslands at 30 m spatial resolution (2000-2022).;PeerJ;5;10.7717/peerj.19774;The article describes production of a high spatial resolution (30 m) bimonthly light use efficiency (LUE) based gross primary productivity (GPP) data set representing grasslands for the period 2000 to 2022. The data set is based on using reconstructed global complete consistent bimonthly Landsat archive (400TB of data), combined with 1 km MOD11A1 temperature data and 1Â° CERES Photosynthetically Active Radiation (PAR). First, the LUE model was implemented by taking the biome-specific productivity factor (maximum LUE parameter) as a global constant, producing a global bimonthly (uncalibrated) productivity data for the complete land mask. Second, the GPP 30 m bimonthly maps were derived for the global grassland annual predictions and calibrating the values based on the maximum LUE factor of 0.86 gCm<sup>-2</sup>d<sup>-1</sup>MJ<sup>-1</sup>. The results of validation of the produced GPP estimates based on 527 eddy covariance flux towers show an R-square between 0.48-0.71 and root mean square error (RMSE) below ~2.3 gCm<sup>-2</sup>d<sup>-1</sup> for all land cover classes. Using a total of 92 flux towers located in grasslands, the validation of the GPP product calibrated for the grassland biome revealed an R-square between 0.51-0.70 and an RMSE smaller than ~2 gCm<sup>-2</sup>d<sup>-1</sup>. The final time-series of maps (uncalibrated and grassland GPP) are available as bimonthly (daily estimates in units of gCm<sup>-2</sup>d<sup>-1</sup>) and annual (daily average accumulated by 365 days in units of gCm<sup>-2</sup>yr<sup>-1</sup>) in Cloud-Optimized GeoTIFF (~23TB in size) as open data (CC-BY license). The recommended uses of data include: trend analysis <i>e.g</i>., to determine where are the largest losses in GPP and which could be an indicator of potential land degradation, crop yield mapping and for modeling GHG fluxes at finer spatial resolution. Produced maps are available <i>via</i> SpatioTemporal Asset Catalog (http://stac.openlandmap.org) and Google Earth Engine.
77;"Robson Argolo dos Santos; Jesiele Silva da Divincula; Karine Rabelo de Oliveira; Luan Peroni Venancio; Marcos Francisco Missio; Roberto Filgueiras; Fernando FranÃ§a da Cunha; Catariny Cabral Aleman";2020;"Biomass. Evapotranspiration. Agricultural Management. Water Productivity. SAFER CiÃªncias AgrÃ¡rias; Londrina; v. 41; n. 2; p. 435-446; mar./abr. 2020";Remote sensing as a tool to determine biophysical parameters of irrigated seed corn crop.;Semina: CiÃªncias AgrÃ¡rias;5;10.5433/1679-0359.2020v41n2p435;In recent years, many studies have been conducted combining orbital remote sensing data and crop growth models for vegetation monitoring, evapotranspiration estimation and quantification of biophysical parameters, e.g., NDVI, surface temperature, albedo, and biomass. The aim of the present study was to estimate evapotranspiration (ETr), biomass (BIO), and water productivity (WP) for irrigated seed corn crop using the SAFER algorithm and Landsat 8 satellite images. For this, eight cloud-free images were acquired at different phenological stages over the interest area on the United States Geological Survey website and meteorological data. ETr was estimated by the SAFER algorithm, BIO by the Monteith model, and WP by the BIO/ETr ratio. ETr values ranged from 0 to 6 mm d?1, with the highest values coinciding with the period of high vegetative crop vigor, while the lowest values were found at the sowing season. The highest biomass values were observed from images at 46 and 62 days after sowing (DAS), corresponding to 286 and 289 kg ha?1 d?1, respectively. The highest mean of water productivity was observed at 62 DAS, with 6.9 kg m?3 of water, corresponding to the period of maximum vegetative crop vigor. The application of the SAFER model together with Landsat 8 satellite images was an alternative to identifying the spatial and temporal variation of biophysical parameters of the corn crop. It could assist in the management of water in irrigated agriculture and decision making in large-sized farms.
78;Muzaffer Kahveci;2017;"GNSS applications; Precision agriculture; Computer science; Agriculture; Geographic information system";Contribution of GNSS in precision agriculture;PROCEEDINGS OF 8TH INTERNATIONAL CONFERENCE ON RECENT ADVANCES IN SPACE TECHNOLOGIES (RAST 2017);5;10.1109/rast.2017.8002939;Precision Agriculture Management System (PAMS) can generally be defined as the system based on the advanced navigation, information and communication technologies. In this system, instead of managing whole fields as a single unit, fields are divided into small areas and for each area different information and data related to soil and vegetation characteristics (e.g. yield, moisture, texture, structure, nutrient status, etc.) are gathered and archived in a GIS database. Use of modern technologies (ICT: Information&Communication Technologies, Remote Sensing, GIS and GNSS) in precision farming increase gradually in developed countries. Using these technologies in Turkey where numerous and scattered farming fields exist is inevitable due to its advantage in reducing the cost for labour and mineral fuels and saving time by minimizing the operation hours of machinery in the field to the minimum required. Hence, it is vital to initiate the necessary infrastructure works and support the use of GIS/GNSS in farming. Thus, establishing an effective PAMS is possible to integrate with the ICT, GNSS and GIS technologies. In this paper, PAMS concept, its necessity and components are briefly discussed. And the importance of using GNSS in an effective precision agriculture application is mentioned. Besides, GNSS infrastructure of a PAMS established by Turksat Inc. Co. in Ceylanpinar is introduced. Additionally, some cost-saving info is also given obtained from some applications previously performed in Turkey.
