Rank;Autores;Ano;Título;Palavras-chave;Revista;Número de Citações;DOI;Abstract
27;"Araceli Del Carmen Andablo-Reyes; Ana Isabel Moreno-Calles; Beatriz Adriana Cancio-Coyac; Ernesto Gutiérrez-Coatecatl; Alexis Daniela Rivero-Romero; Gerardo Hernández-Cendejas; Alejandro Casas";2023;Agri-silvicultures of Mexican Arid America.;"Arid and semiarid north of Mexico; Biocultural diversity; Geohistory; Nomadic cultures; Traditional agriculture; Traditional agroforestry; Wild and domesticated biodiversity";Journal of ethnobiology and ethnomedicine;11;10.1186/s13002-023-00612-5;"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Agri-silvicultures (ASC) are biocultural practices procuring either the maintenance of wild diversity in predominantly agricultural spaces or introducing agrobiodiversity into forests. In the Mesoamerican region, ASC contribute to food sovereignty and territorial conservation and provide strategies for dealing with global changes. Previous inventories of ASC identified gaps in information about these systems in the Mexican Arid America region. This article raises the general question: How have human interactions between cultural, wild, and domesticated biodiversity in this territory? The particular questions in this paper are: (i) How have historical processes shaped human interactions between wild and domesticated biodiversity in the region? and (ii) What types of agri-silvicultures have emerged in Mexican Arid America since these relationships?</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We trace a methodological border where archaeologists have identified the Mesoamerican region to define our study area as Arid America northern of this line in Mexico. We analyzed agriculturalization processes in Arid America through a historical review. Then, we carry out an inventory of Arid America ASC based on academic papers and other documented experiences. We constructed a spatial database and a typology to understand what kinds of agri-silviculture occur in the region.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">We identified several pre-Hispanic agri-silvicultural practices in the region, like hunting, fishing, terraces, gathering, and irrigation systems. The cultivation of native species of maize, beans, and squash even was registered. The Spanish colonization forced the agriculturization in arid northern Mexico, where itinerant hunting-gathering patterns predominated. In the twentieth century, the Green Revolution adopted this area as the principal setting for industrialized agriculture. The industrialized irrigated systems expansion and other political strategies provoked the simplification of productive landscapes. The practices that integrate wild and agricultural diversity systems were marginalized and invisibilized in such a context. Our research group proposes seven types of agri-silvicultural systems (natives agrisilvicultures, the oases agroforestry, Mesquite and Huisache ASC, homegardens and other traditional forms of agroforestry or agri-silvicultures). These agri-silvicultures provide food, medicine, fodder, and other contributions, as income to the families that practice them and protect native and exotic species.</AbstractText>;           <AbstractText Label=""DISCUSSION AND CONCLUSION"" NlmCategory=""CONCLUSIONS"">The agriculturization of the arid environments initiated during Spanish colonization and the subsequent modernizing projects shaped dominant actors and ideologies in the arid north of Mexico. However, aridity has favored ancestral and agroecological relationships between cultures and biodiversity, emerging and subsisting Arid American agri-silvicultures. These agri-silvicultures deserve to be understood, adopted, and adapted to new contexts. They could be essential alternatives in the context of environmental changes.</AbstractText>;           <CopyrightInformation>© 2023. BioMed Central Ltd., part of Springer Nature.</CopyrightInformation>"
28;"Vipin Kumar; Vijay Singh; Michael L Flessner; Joseph Haymaker; Mark S Reiter; Steven B Mirsky";2023;Cover crop termination options and application of remote sensing for evaluating termination efficiency.;N/D;PloS one;13;10.1371/journal.pone.0284529;Efficient termination of cover crops is an important component of cover crop management. Information on termination efficiency can help in devising management plans but estimating herbicide efficacy is a tedious task and potential remote sensing technologies and vegetative indices (VIs) have not been explored for this purpose. This study was designed to evaluate potential herbicide options for the termination of wheat (Triticum aestivum L.), cereal rye (Secale cereale L.), hairy vetch (Vicia villosa Roth.), and rapeseed (Brassica napus L.), and to correlate different VIs with visible termination efficiency. Nine herbicides and one roller-crimping treatment were applied to each cover crop. Among different herbicides used, glyphosate, glyphosate + glufosinate, paraquat, and paraquat + metribuzin provided more than 95% termination for both wheat and cereal rye 28 days after treatment (DAT). For hairy vetch, 2,4-D + glufosinate and glyphosate + glufosinate, resulted in 99 and 98% termination efficiency, respectively, followed by 2,4-D + glyphosate and paraquat with 92% termination efficiency 28 DAT. No herbicide provided more than 90% termination of rapeseed and highest control was provided by paraquat (86%), 2,4-D + glufosinate (85%), and 2,4-D + glyphosate (85%). Roller-crimping (without herbicide application) did not provide effective termination of any cover crop with 41, 61, 49, and 43% termination for wheat, cereal rye, hairy vetch, and rapeseed, respectively. Among the VIs, Green Leaf Index had the highest Pearson correlation coefficient for wheat (r = -0.786, p = <0.0001) and cereal rye (r = -0.804, p = <0.0001) with visible termination efficiency rating. Whereas for rapeseed, the Normalized Difference Vegetation Index (NDVI) had the highest correlation coefficient (r = -0.655, p = <0.0001). The study highlighted the need for tankmixing 2,4-D or glufosinate with glyphosate for termination instead of blanket application of glyphosate alone for all crops including rapeseed and other broadleaf cover crops.
29;"Saravanakumar R; Rajni Jain; Vaibhav Kumar Singh; Anshu Bharadwaj; Vinay Kumar Sehgal; Ankur Biswas; Alka Arora; Hari Krishna";2026;Hybridizing deep learning algorithms and geostatistical approaches for improved crop yield disaggregation.;N/D;PloS one;1;10.1371/journal.pone.0344081;Reliable crop yield estimates at fine spatial resolution are essential for precision agriculture, food security planning, and insurance schemes. However, yield statistics are reported at coarser administrative levels, limiting their applicability for field-scale analysis. This study proposes a multi-stage hybridized framework that integrates deep learning (DL) models with geostatistical residual kriging to disaggregate village-level crop yield statistics to the pixel level. The proposed methodology is demonstrated using wheat and mustard crops as case study in the semi-arid districts, Haryana, India. The study identifies suitable data combination by evaluating multiple combinations of soil, weather, Sentinel-1, and Sentinel-2 bands data for yield disaggregation. Results show that datasets combining spectral and weather information consistently outperform other data combinations. Validation results showed that the strongest numerical accuracy was observed for machine learning algorithms, e.g., random forest, with an R2 of 0.9949, but it lacks spatial realism. On the other hand, DL models had comparable numerical accuracy and also produced smoother and more realistic spatial transitions but exhibited spatially structured residuals. To mitigate these spatial biases, residual kriging was applied to DL outputs, resulting in RMSE reduction of 35-45% and generating smoother pixel-level maps that preserved fine-scale heterogeneity and aligned with reported village yields. Moran's I analysis confirmed significant residual spatial autocorrelation for DL models, justifying the use of geostatistical correction. Thus, the proposed hybridized framework emerged as best for balancing statistical accuracy with spatially realistic yield disaggregation. This study provides one of the first empirical demonstrations of village-to-pixel yield disaggregation using the identified weather and satellite band data combination.
30;"Carmine Fusaro; Yohanna Sarria-Guzmán; Yosef A Chávez-Romero; Marco Luna-Guido; Ligia Catalina Muñoz-Arenas; Luc Dendooven; Arturo Estrada-Torres; Yendi E. Navarro-Noya";2019;Land use is the main driver of soil organic carbon spatial distribution in a high mountain ecosystem.;"Arable land; Climate change; Deterministic interpolation; Forest soil; Geostatistical interpolation; High altitude temperate forest";PeerJ;19;10.7717/peerj.7897;Background Terrestrial ecosystems play a significant role in carbon (C) storage. Human activities, such as urbanization, infrastructure, and land use change, can reduce significantly the C stored in the soil. The aim of this research was to measure the spatial variability of soil organic C (SOC) in the national park La Malinche (NPLM) in the central highlands of Mexico as an example of highland ecosystems and to determine the impact of land use change on the SOC stocks through deterministic and geostatistical geographic information system (GIS) based methods. Methods The soil was collected from different landscapes, that is, pine, fir, oak and mixed forests, natural grassland, moor and arable land, and organic C content determined. Different GIS-based deterministic (inverse distance weighting, local polynomial interpolation and radial basis function) and geostatistical interpolation techniques (ordinary kriging, cokriging and empirical Bayes kriging) were used to map the SOC stocks and other environmental variables of the top soil layer. Results All interpolation GIS-based methods described the spatial distribution of SOC of the NPLM satisfactorily. The total SOC stock of the NPLM was 2.45 Tg C with 85.3% in the forest (1.26 Tg C in the A horizon and 0.83 Tg C in the O horizon), 11.4% in the arable soil (0.23 Tg in the A horizon and only 0.05 Tg C in the O horizon) and 3.3% in the high moor (0.07 Tg C in the A horizon and <0.01 Tg C in the O horizon). The estimated total SOC stock in a preserved part of the forest in NPLM was 4.98 Tg C in 1938 and has nearly halved since then. Continuing this trend of converting all the remaining forest to arable land will decrease the total SOC stock to 0.52 Tg C. Discussion Different factors explain the large variations in SOC stocks found in this study but the change in land use (conversion of forests into agricultural lands) was the major reason for the reduction of the SOC stocks in the high mountain ecosystem of the NPLM. Large amounts of C, however, could be stored potentially in this ecosystem if the area was used more sustainable. The information derived from this study could be used to recommend strategies to reverse the SOC loss in NPLM and other high-altitude temperate forests and sequester larger quantities of C. This research can serve as a reference for the analysis of SOC distribution in similar mountain ecosystems in central part of Mexico and in other parts of the world.
31;"THATIANE GOMES ANDRADE; ADERSON SOARES DE ANDRADE JUNIOR; MELISSA ODA SOUZA; JOSE WELLINGTON BATISTA LOPES; PAULO FERNANDO DE MELO JORGE VIEIRA";2022;SOYBEAN YIELD PREDICTION USING REMOTE SENSING IN SOUTHWESTERN PIAUÍ STATE, BRAZIL;"NDVI; Crop season forecast; Multiple regression NDVI; Previsão de safra; Regressão múltipla";Revista Caatinga;11;10.1590/1983-21252022v35n111rc;<jats:p>ABSTRACT Recent researches have shown promising results for the use of orbital data using the Normalized Difference Vegetation Index (NDVI) to monitor and predict soybean grain yield. The objective of this work was to evaluate propositions of multiple linear regression models to predict soybean grain yield using NDVI. The research was carried out at the Celeiro Farm, in Monte Alegre do Piauí, PI, Brazil, in an area of 200 ha. Five images were collected during the soybean crop cycle: one from the Landsat 8 and four from the Sentinel 2. Regression analyses were carried out between grain yield data (predicted variable) extracted from harvest maps and spectral data (predictor variables) from NDVI of soybean crops at different developmental stages. The promising models were selected by the Akaike Information Criterion (AIC). The models were validated using Root Mean Square Error (RMSE) and Normalized Root Mean Square Error (nRMSE), considering the mean of soybean yield of the plot. The linear regression models developed with NDVI for the V5-V6 and R2 developmental stages showed promising results for the prediction of soybean grain yield, with mean error of predictions of 153.9 kg ha-1, representing 4.2% when compared to the data from field measures.</jats:p>
32;"Getachew Kebede; Bester Tawona Mudereri; Onisimo Mutanga; Tobias Landmann; John Odindi; Natacha Motisi; Fabrice Pinard; Henri E Z Tonnang; Elfatih M Abdel-Rahman";2026;Mapping Robusta coffee (Coffea canephora) cropping systems in Uganda: A two-step pixel and sub-pixel based approach with Sentinel-2 data.;N/D;PloS one;1;10.1371/journal.pone.0338803;Coffee is a highly valued commodity and a widely consumed beverage, playing an important role in global trade. However, coffee farming landscapes are increasing transitioning into smaller-scale agricultural setups. This transformation highlights the critical need for accurate classification and mapping of coffee cropping systems (CS), especially in countries like Uganda, where dense vegetation and complex terrain present substantial challenges to traditional land survey methods. Moreover, understanding the spatial distribution of Robusta coffee (Coffea canephora) CS is essential for developing site-specific management strategies, guiding extension services, and informing evidence-based policy decisions. To address this gap, the present study aimed to enhance the discrimination and mapping capabilities of Robusta coffee CS at a sub-pixel scale using a two-step classification approach and multi-date Sentinel-2 (S2) data. In the first step, the random forest (RF) classification algorithm was used to map the major land use and land cover (LULC) classes in Google Earth Engine platform. Then, the Robusta coffee cropland class was masked, and a sub-pixel multiple endmember spectral mixture analysis (MESMA) was employed to discriminate Robusta coffee CS using three endmembers (EMs) obtained from in-situ hyperspectral data collected in 2023 from: (i) Robusta coffee with agroforestry, (ii) Robusta coffee with banana, and (iii) Robusta coffee under full sun. The result showed 93.5% overall accuracy for the major LULC and 89.9% for all Robusta coffee CS classes, disentangled as follows: 91.3% accuracy for Robusta coffee with agroforestry, 88.5% for Robusta coffee with banana, and 91.2% for Robusta coffee under full sun. Moreover, the MESMA sub-pixel algorithm demonstrates credible performance in discriminating the Robusta coffee CS within each S2 pixel at the heterogeneous landscape in the study area. The findings of this study can inform site-specific interventions (e.g., pest management, fertilizer application, etc.) tailored to the type of CS.
33;"Pham Quy Giang; Sikandar Ali; Ajab Pham Quy Giang; D Aik; M Ismail; F Muharam; Y Almamalachy; Al-Quraishi Am Moradkhani; R Basse; O Charif; K Bdis; W Bastiaanssen; D Molden; I Makin; S Boonwichai; S Shrestha; M Babel; S Weesakul; A Datta; M Brovelli; F Fahl; M Minghini; M Molinari; D' Urso; I Hegazy; M Kaloop; H Huang; Y Han; J Song; Z Zhang; null Xiao; V Huynh; Chau Vtt; C Huynh; Y Julien; J Sobrino; null Jimnez-Muoz; M Juliev; A Pulatov; S Fuchs; J Hbl; Y Ke; J Im; J Lee; H Gong; Y Ryu; S Lee; T Dang; T Liu; X Yang; K Maitah; L Smutka; J Sahatqija; M Maitah; P Nguyen; S Mansour; Al Belushi; Al-Awadhi T; Q Pham; Vum Rao; Avms Rao; Ggsn Rao; T Satyanarayana; N Manikandan; B Venkateshwarlu; Dong Hung; Thai Binh; null Vietnam; J Spruce; J Bolten; I Mohammed; R Srinivasan; V Lakshmi; X Song; M Hansen; S Stehman; P Potapov; A Tyukavina; E Vermote; J Townshend; E Sothy; S Sokcheng; C Chhun; K Pirom; J Townshend; Justice Co; H Tran; Tran Va; T Le; M Usman; R Liedl; M Shahid; A Abbas";2021;"Assessment of land use change and crop water requirements in Dong Hung district in the Red River Delta of Vietnam using GIS and satellite imageries""";"GIS; Land use change; Land use status map; Landsat; MODIS";Asian Journal of Agriculture and Biology;0;10.35495/ajab.2021.05.214;Monitoring land use changes plays crucial role for the management and use of land in a reasonable and effective manner. As land use change is associated with increasingly dynamic socio-economic activities, tracking land use change becomes more difficult with larger amounts of data to be processed. In this study, the modern technology of GIS and Remote Sensing was applied for the assessment of land use change and crop water requirements in Dong Hung district in the Red River Delta of Vietnam. Databases of land use for 2013 and 2018 comprising 2492 and 3473 land parcels with 32 and 36 land use types, respectively, were built from land use map and land use status report. The databases were then used to construct a database of land use change for the period of 2013-2018, which was finally used for land use change assessment. In addition, Landsat-8 OLI data was used to detect land use change for Summer-Autumn and Winter-Spring seasons of 2013 and 2018. Moreover, MODIS satellite data was also used to estimate the crop water requirements for the rice fields for the mentioned seasons in the district. The study revealed that there was a complicated conversion among land use types, but in general agricultural land decreased by 485.9 ha, while non-agricultural land increased by 493.23 ha mainly with the expansion of residential land and land for infrastructure development. Among agricultural land use types, however, only annual cropland, which mostly includes paddy land was narrowed down by nearly 770ha, meanwhile other agricultural land increased. Crop water requirement was found to change slightly during the study period. Although the changes in land use in the study area imply the progress of urbanization, infrastructure improvement and economic restructuring, since Thai Binh province is the heart of the Red River Delta and critically contributes to the rice production in the region, the decline in paddy land is of great concern that should be taken into account for land management and planning of the province and the district.
34;"Gabriel Mascarenhas Maciel; Rodrigo Bezerra de Araújo Gallis; Ricardo Luís Barbosa; Lucas Medeiros Pereira; Ana Carolina Silva Siquieroli; Joicy Vitória Miranda Peixoto";2020;Image phenotyping of lettuce germplasm with genetically diverse carotenoid levels;"geotechnology; biofortification; Lactuca sativa L.; unmanned aerial vehicle (UAV)";Bragantia;11;10.1590/1678-4499.20190519;ABSTRACT Developing biofortified foods such as lettuce is a frequent goal of breeding programs. One obstacle to the success of these efforts is the high temporal and financial cost of determining leaf constituents. Image phenotyping has been increasingly used in crop breeding, but not in lettuce breeding. Until now, the use of image phenotyping to indirectly select carotenoid-rich lettuce inbred lines has not been reported. Therefore, the goal of this study was to use image phenotyping to select lettuce inbred lines with different carotenoid levels. Twenty-two inbred lettuce lines, resulting from the hybridization of the cultivars Pira 72 and Uberlândia 10000 and six successive selfings were evaluated. ‘Grand Rapids’, ‘UFU-Biofort’ and ‘Uberlândia 10000’ were used as controls. The following variables were evaluated: agronomic potential, apparent genetic diversity and image phenotyping. The data were submitted to the ANOVA F test (p ≤ 0.05) and means compared by the Scott–Knott test (p ≤ 0.05). Genetic divergence was represented by dendrograms constructed by UPGMA and the Tocher optimization method. The relative contribution of characters was assessed to identify the most relevant response variable. The genetic diversity of the evaluated germplasm bank was the greatest regarding soil plant analysis development (SPAD)/carotenoid values. Image phenotyping was successfully used to detect different levels of SPAD/carotenoid levels and could be a useful tool for plant breeding. The results of this study can be used to predict the nutritional values of the carotenoid content in lettuce leaves before commercialization.
35;"Saiful Azim; Jesper Rasmussen; Jon Nielsen; René Gislum; Morten Stigaard Laursen; Svend Christensen";2019;Manual geo-rectification to improve the spatial accuracy of ortho-mosaics based on images from consumer-grade unmanned aerial vehicles (UAVs);N/D;Precision Agriculture;12;10.1007/s11119-019-09647-9;The global spatial accuracy of ortho-mosaics based on images from consumer-grade unmanned aerial vehicles (UAVs) is relatively low. The use of ground control points (GCPs) improves the accuracy but it requires RTK-GNSS (global navigation satellite system) measurements in the field. The objective of this study was to evaluate manual geo-rectification after ortho-mosaicking as a cost-effective alternative to GCPs or UAVs equipped with RTK-GNSS. Google Earth images and A-B lines used for tractor auto-steering were used for manual geo-rectification with a free geographic information system (GIS) and remote-sensing (RS) software (QGIS). Two different photogrammetry software (Agisoft Photoscan and Pix4DMapper) were used for ortho-mosaicking. Images were captured in three fields at two altitudes (40 and 80 m) with a multi-rotor camera drone equipped with a GNSS without ground reference (Phantom 4). The results showed that flight altitude and photogrammetry software had no impact on the spatial accuracy and that manual geo-rectification significantly improved the spatial accuracy. Root mean squares (RMSEs) for ortho-mosaics without geo-rectification was in the range of 4 to 28 m and the range was 0.6 to 2.5 m and 0.5 to 1.1 m for geo-rectification based on Google Earth images and A-B-lines, respectively. RTK-GNSS tagged UAV images and the use of GCPs gave average RMSEs of less than 0.1 m. It was concluded that manual geo-rectification offers a feasible alternative to GCPs and UAVs with RTK-GNSS when spatial accuracy of about 1 m is acceptable.
36;"Taiara Souza Costa; Robson Argolo dos Santos; Rosângela Leal Santos; Roberto Filgueiras; Fernando França da Cunha; Anderson de Jesus Pereira; Rodrigo Amaro de Salles";2021;Spatio-temporal variability of biophysical parameters of irrigated maize using orbital remote sensing;N/D;Semina: Ciências Agrárias;2;10.5433/1679-0359.2021v42n4p2181;<jats:p>This study proposes to estimate the actual crop evapotranspiration, using the SAFER model, as well as calculate the crop coefficient (Kc) as a function of the normalized difference vegetation index (NDVI) and determine the biomass of an irrigated maize crop using images from the Operational Land Imager (OLI) and Thermal Infrared (TIRS) sensors of the Landsat-8 satellite. Pivots 21 to 26 of a commercial farm located in the municipalities of Bom Jesus da Lapa and Serra do Ramalho, west of Bahia State, Brazil, were selected. Sowing dates for each pivot were arranged as North and South or East and West, with cultivation starting firstly in one of the orientations and subsequently in the other. The relationship between NDVI and the Kc values obtained in the FAO-56 report (KcFAO) revealed a high coefficient of determination (R2 = 0.7921), showing that the variance of KcFAO can be explained by NDVI in the maize crop. Considering the center pivots with different planting dates, the crop evapotranspiration (ETc) pixel values ranged from 0.0 to 6.0 mm d-1 during the phenological cycle. The highest values were found at 199 days of the year (DOY), corresponding to around 100 days after sowing (DAS). The lowest BIO values occur at 135 DOY, at around 20 DAS. There is a relationship between ETc and BIO, where the DOY with the highest BIO are equivalent to the days with the highest ETc values. In addition to this relationship, BIO is strongly influenced by soil water availability.</jats:p>
37;"Daphne Kitsou; Paraskevi Chantzi; Georgios Galanis; Dimitris Gkoutzikostas; Vasilios Roussonikolos; Konstantinos Karyotis; Maria Giortsou; Nikoleta Tiliopoulou; Argiro Papastergiou; Georgios Zalidis";2025;Life cycle assessment of soil carbon dynamics in peach and olive cultivation in Greece: Implementing nature-based solutions.;N/D;PloS one;3;10.1371/journal.pone.0325757;"Carbon sequestration is a natural process that removes carbon dioxide from the atmosphere and stores it in plant biomass, soils, oceans, and geological formations- a very important process for reducing greenhouse gas concentrations, mitigating climate change and improving soil health. This study explores the environmental impact of implementing Nature Based Solutions (NBSs) in peach orchards and olive groves in Greece, using a cradle-to-farm-gate Life Cycle Assessment (LCA) approach. It specifically examines the chemical, physical, and soil conditions necessary for humification and organic carbon accumulation. The objectives are to: (1) assess the effectiveness NBSs in enhancing soil carbon sequestration within different agricultural management practices, (2) quantify the impact of cultivation transitions on soil carbon storage capacity and greenhouse gas (GHG) emissions, (3) integrate soil carbon stock dynamics into LCA methodologies to improve accuracy in carbon footprint assessments, and (4) highlight the importance of soil organic carbon (SOC) pools and soil properties in refining LCA interpretations for sustainable land management. By Implementing NBSs at pilot sites and using the Monitoring, Reporting and Verification system to track GHG emissions and SOC changes in the field, carbon stocks increased: -179.2 kg CO₂ eq in the peach orchard and -186.3 kg CO₂ eq in the olive grove. GHG emissions reduced by 16.4% in peach cultivation and 51.1% per hectare in olive grove. Main emission sources included crop protection and field energy use; in olives, residue management also played a significant role. This study provides empirical evidence on how NBSs can enhance soil carbon sequestration and reduce GHG emissions, contributing to both climate change mitigation and sustainable agricultural management. These findings demonstrate the value of integrating SOC dynamics into LCA for more reliable carbon assessments, offering a more accurate representation of carbon sequestration potential. The study can support policymakers, farmers, and stakeholders in adopting strategies that maximize environmental benefits and promote soil health. More long- term research on the implementation of Nature Based Solutions is required to properly assess their impact across cultivations, soil types and pedoclimatic zones."
38;"Chinedu MBA; Christopher EZEH; Ignatius A. MADU; Chukwudi EMERİBE";2022;Assessment of climate variability and the determinants of rice productivity in Southeastern Nigeria;"Climate variability; Determinants; Rice productivity; Southeastern Nigeria";Yüzüncü Yıl Üniversitesi Tarım Bilimleri Dergisi;4;10.29133/yyutbd.1132709;"<jats:p xml:lang=""en"">The study assessed the variabilities in climate and key factors of rice production in southeastern Nigeria. Trend analysis and spatial interpolation expressed the spatiotemporal variabilities in the climate and rice yield. Copies of the questionnaire were used to assess four hundred and eighty farm households from 12 local government areas. Other analyses included descriptive statistics, logistic regression, and Productivity Index. The farmers’ socioeconomic characteristics show that the majority (62% of them are young males aged between 30-39 years. Over 80% of them were married while about 72% has household sizes between 5-9 persons. A greater proportion (54%) of them generate between N240,000.00 (578 USD) to N480,000.00 (1156 USD) annually. About 96 % have a farming experience above 10 years, while 50% have basic education (primary education). Logistic regression shows that sex (0.02), category of the farmer (0.00), age (0.03) (0.00), educational qualification (0.02) (0.00), membership of cooperative society (0.00), extension workers’ visit (0.03) were the statistically significant determinants of rice productivity in the area. The area experiences significant rising temperatures and declining rainfall. This trend is more obvious in Ebonyi state. Study results acknowledge the necessity of an enabling environment for rice farming through adequate rural infrastructure, improved rice varieties, access to information, and improved government policies, programs, and interventions to accommodate non-ADP rural rice farmers in order to enhance rice production against the unwanted climate changes</jats:p>"
39;#NOME?;2023;Estimation of Single Crop Coefficient and Crop Evapotranspiration Using Remote Sensing for Irrigation Management;"Sentinel 2; Landsat 8; crop coefficient; evapotranspiration; remote sensing";International Journal on Advanced Science, Engineering and Information Technology;1;10.18517/ijaseit.13.2.15531;<jats:p>Indonesia has rainy and dry seasons sequentially from April to October and October to March. In the dry season, water availability in the soil gradually decreases, especially from June to October, when the peak of drought occurs, causing many agricultural lands to be left uncultivated. However, a small portion of agricultural land can still be planted for crops such as maize and groundnut. However, limited water availability causes crop growth to be disrupted because the amount of water absorbed by crop roots is less than the amount of evapotranspiration water. Therefore, an accurate evapotranspiration estimation technique is needed to make the water supply efficient. This study aims to evaluate the reliability of the technique of estimating crop coefficient (Kc) of maize and groundnut and temperature at the research location. A linear relationship between the Normalized Difference Vegetation Index (NDVI) from sentinel two imagery and Kc-FAO was used to estimate Kc. Meanwhile, a linear relationship between LST from Landsat 8 imagery and the results of interpolating temperature data from 4 climatological stations were used to estimate the temperature at the research site. The results of estimation showed that Kc of maize and groundnut were very accurate with the determinant coefficients (R2) respectively 0.8791 and 0.9352. This is similar to the results of the temperature estimation of the research location, showing a very accurate R2 is 0.9073. The results of this study are expected to be used for future research to improve water crop management.</jats:p>
40;"Luan Peroni Venancio; Roberto Filgueiras; Fernando França da Cunha; Francisco Charles dos Santos Silva; Robson Argolo dos Santos; Everardo Chartuni Mantovani";2020;Mapping of corn phenological stages using NDVI from OLI and MODIS sensors;"Vegetation index; Satellite images; Remote sensing; Zea mays L";Semina: Ciências Agrárias;6;10.5433/1679-0359.2020v41n5p1517;Images from MODIS and OLI sensors were used. Corn phenology was evaluated through NDVI. Data were validated by model identity testing. NDVI can help identify problems in corn crops.
41;"Laila Lucia Sousa e Silva; Gabriel Siqueira Tavares Fernandes; Edivania de Araujo Lima; Jessica Rafaelly Almeida Lopes; Arão de Moura Neto; Raiany de Oliveira Silva";2024;Potential impacts of climate change on food crops in the state of Piauí, Brazil;N/D;Revista Ceres;1;10.1590/0034-737x2024710042;ABSTRACT Climate change has made food security vulnerable. Therefore, it is important to have discussions on the subject and take actions that minimize the environmental impacts on family farming, that will be directly or indirectly affected by climatic events. With this in mind, this study aimed to identify climate changes in the state of Piauí based on climate projections and to verify their possible impacts on the suitability of growing food crops, such as beans, corn, cassava, and cashew. The climate scenarios analyzed were 2011–2040, 2041–2070, and 2071–2100. The observed data on current climate came from the National Institute of Meteorology (INMET), and future climate projections came from the Brazilian Portal of Climate Projections of the National Institute for Space Research (INPE). Based on the climatic data obtained (current and future), the climatological water balance was calculated, using the method proposed by Thorntwaite, with consecutive characterization of the suitability for crops. All maps were generated in QGIS. According to the results, crops that may suffer from water deficit are beans and cashews. The latter, in the RCP 8.5 scenario (2071–2100) shows unsuitability for cultivation throughout the state. The population with the highest rate of social vulnerability is the one that will be most damaged by the events caused by climate change.
42;"A V Silva; C M Silva; J H B Silva; W E Pereira; M B Albuquerque; J C Medeiros; F R R Leal; J F Carvalho; B O T Silva; F Mielezrski";2024;Remote sensing in maize: effect of vegetal biostimulants application in three stages of development.;N/D;Brazilian journal of biology = Revista brasleira de biologia;0;N/D;Maize is a crop of global economic importance and is widely cultivated throughout the Brazilian territory. The use of biostimulants can increase yield and improve crop yield. Unmanned aerial vehicles can be employed in arable areas, allowing their use in an economically way. This study to evaluate the use of biostimulant and the best application timing using photogrammetric indexes in maize, and indicate the most suitable plant index for yield increase through a Pearson's correlation. The DJI Drone coupled with RGB camera was used, and the images were processed through the AgisoftPhotoscan® software to generate the orthomosaic, and the QGIS® software version 3.4.15 with GRASS was used to generate thematic maps with the classification of the indexes of vegetation (NGRDI, EXG, SAVI, TGI, GLI, RI). A matrix of Pearson correlation coefficients between the variables was also created, and the results were analyzed with the R software. In general, the products Pyroligneous Extract (PE) and the hormonal product (HP) were the best for the two seasons studied. However, the HP was the best product to mitigate plant water stress in the dry period. Application at phenological stage V3 showed the lowest growth in the rainy season and in application to the seeds in the dry season. Dose 4 of the pyroligneous extract increased productivity in the rainy season and level 3.4 for the hormone product. Among the indexes evaluated, only the SAVI index showed significant differences between the others and showed significance for productivity in the two periods.
43;"Airton Andrade da Silva; Francisco Charles Dos Santos Silva; Claudinei Martins Guimarães; Ibrahim A Saleh; José Francisco da Crus Neto; Mohamed A El-Tayeb; Mostafa A Abdel-Maksoud; Jorge González Aguilera; Hamada AbdElgawad; Alan Mario Zuffo";2024;Spectral indices with different spatial resolutions in recognizing soybean phenology.;N/D;PloS one;1;10.1371/journal.pone.0305610;"The aim of the present research was to evaluate the efficiency of different vegetation indices (VI) obtained from satellites with varying spatial resolutions in discriminating the phenological stages of soybean crops. The experiment was carried out in a soybean cultivation area irrigated by central pivot, in Balsas, MA, Brazil, where weekly assessments of phenology and leaf area index were carried out. Throughout the crop cycle, spectral data from the study area were collected from sensors, onboard the Sentinel-2 and Amazônia-1 satellites. The images obtained were processed to obtain the VI based on NIR (NDVI, NDWI and SAVI) and RGB (VARI, IV GREEN and GLI), for the different phenological stages of the crop. The efficiency in identifying phenological stages by VI was determined through discriminant analysis and the Algorithm Neural Network-ANN, where the best classifications presented an Apparent Error Rate (APER) equal to zero. The APER for the discriminant analysis varied between 53.4% and 70.4% while, for the ANN, it was between 47.4% and 73.9%, making it not possible to identify which of the two analysis techniques is more appropriate. The study results demonstrated that the difference in sensors spatial resolution is not a determining factor in the correct identification of soybean phenological stages. Although no VI, obtained from the Amazônia-1 and Sentinel-2 sensor systems, was 100% effective in identifying all phenological stages, specific indices can be used to identify some key phenological stages of soybean crops, such as: flowering (R1 and R2); pod development (R4); grain development (R5.1); and plant physiological maturity (R8). Therefore, VI obtained from orbital sensors are effective in identifying soybean phenological stages quickly and cheaply."
